dz_2021_code,type,hours_15_or_less_worked_per_week,hours_16_30_worked_per_week,hours_31_48_worked_per_week,hours_49_worked_per_week,not_applicable
N20001617,NI data zone,22,51,105,43,272
N20001618,NI data zone,28,55,136,21,256
N20001619,NI data zone,13,33,94,32,216
N20001620,NI data zone,28,22,72,9,230
N20001621,NI data zone,37,44,106,24,259
N20001622,NI data zone,20,29,77,14,296
N20001623,NI data zone,26,45,119,22,261
N20001624,NI data zone,41,33,94,22,234
N20001625,NI data zone,18,20,56,9,147
N20001626,NI data zone,23,32,93,6,306
N20001627,NI data zone,31,62,152,36,358
N20001628,NI data zone,16,21,55,9,183
N20001629,NI data zone,17,22,41,6,205
N20001630,NI data zone,78,50,62,17,256
N20001631,NI data zone,27,44,102,23,269
N20001632,NI data zone,28,41,113,29,421
N20001633,NI data zone,134,72,46,6,274
N20001634,NI data zone,37,51,149,57,326
N20001635,NI data zone,56,53,154,23,320
N20001636,NI data zone,24,52,126,37,265
N20001637,NI data zone,30,39,91,29,301
N20001638,NI data zone,67,75,155,37,316
N20001639,NI data zone,31,49,145,26,302
N20001640,NI data zone,25,33,86,35,291
N20001641,NI data zone,15,26,72,24,142
N20001642,NI data zone,14,43,94,13,332
N20001643,NI data zone,15,39,93,26,194
N20001644,NI data zone,31,81,198,26,382
N20001645,NI data zone,21,50,120,39,296
N20001646,NI data zone,8,26,72,14,168
N20001647,NI data zone,19,53,119,41,305
N20001648,NI data zone,10,26,96,15,152
N20001649,NI data zone,16,42,88,21,188
N20001650,NI data zone,16,40,84,20,200
N20001651,NI data zone,15,15,16,15,80
N20001652,NI data zone,28,39,124,37,277
N20001653,NI data zone,26,49,167,34,364
N20001654,NI data zone,11,19,41,2,176
N20001655,NI data zone,23,57,166,17,317
N20001656,NI data zone,38,62,210,25,445
N20001657,NI data zone,20,32,50,17,214
N20001658,NI data zone,31,64,147,50,275
N20001659,NI data zone,14,31,76,15,225
N20001660,NI data zone,45,70,237,32,522
N20001661,NI data zone,16,29,63,8,218
N20001662,NI data zone,13,30,55,6,359
