dz_2021_code,type,deprived_in_0_dimensions,deprived_in_1_dimension,deprived_in_2_dimensions,deprived_in_3_dimensions,deprived_in_4_dimensions
N20001572,NI data zone,66,65,41,27,2
N20001573,NI data zone,79,86,47,11,0
N20001574,NI data zone,38,99,87,44,5
N20001575,NI data zone,43,65,46,31,6
N20001576,NI data zone,88,55,43,7,0
N20001577,NI data zone,58,45,17,2,0
N20001578,NI data zone,32,42,48,38,2
N20001579,NI data zone,32,47,34,23,1
N20001580,NI data zone,105,63,30,5,0
N20001581,NI data zone,54,70,66,21,4
N20001582,NI data zone,75,65,25,2,0
N20001583,NI data zone,94,71,28,5,0
N20001584,NI data zone,78,65,26,1,1
N20001585,NI data zone,97,57,34,7,0
N20001586,NI data zone,85,70,31,5,1
N20001587,NI data zone,161,76,27,3,0
N20001588,NI data zone,65,55,32,13,0
N20001589,NI data zone,98,113,68,8,1
N20001590,NI data zone,80,86,44,6,0
N20001591,NI data zone,125,77,48,8,1
N20001592,NI data zone,95,53,14,1,0
N20001593,NI data zone,90,72,24,3,0
N20001594,NI data zone,101,95,42,4,0
N20001595,NI data zone,30,40,35,24,1
N20001596,NI data zone,122,79,22,3,0
N20001597,NI data zone,131,95,59,15,0
N20001598,NI data zone,67,54,33,13,1
N20001599,NI data zone,79,62,49,20,3
N20001600,NI data zone,16,38,56,26,6
N20001601,NI data zone,62,64,45,21,2
N20001602,NI data zone,91,66,23,4,1
N20001603,NI data zone,76,77,58,22,2
N20001604,NI data zone,113,87,46,23,7
N20001605,NI data zone,31,58,47,19,0
N20001606,NI data zone,53,33,28,2,0
N20001607,NI data zone,68,81,54,18,1
N20001608,NI data zone,42,63,37,20,3
N20001609,NI data zone,75,41,8,3,0
N20001610,NI data zone,104,90,34,12,0
N20001611,NI data zone,108,91,47,4,0
N20001612,NI data zone,46,56,75,34,2
N20001613,NI data zone,132,82,17,2,0
N20001614,NI data zone,79,91,47,15,0
N20001615,NI data zone,136,94,23,1,0
N20001616,NI data zone,126,80,40,12,0
N20001617,NI data zone,85,70,32,7,0
N20001618,NI data zone,115,60,24,1,0
N20001619,NI data zone,63,52,34,5,0
N20001620,NI data zone,68,57,30,8,0
N20001621,NI data zone,124,82,52,10,2
N20001622,NI data zone,44,73,64,32,6
N20001623,NI data zone,119,69,25,1,0
N20001624,NI data zone,99,66,16,3,0
N20001625,NI data zone,41,29,31,6,0
N20001626,NI data zone,64,99,74,24,3
N20001627,NI data zone,101,91,55,14,2
N20001628,NI data zone,59,42,14,2,0
N20001629,NI data zone,38,82,58,5,2
N20001630,NI data zone,92,48,16,3,0
N20001631,NI data zone,102,72,24,1,0
N20001632,NI data zone,144,87,36,2,0
N20001633,NI data zone,102,56,13,4,0
N20001634,NI data zone,110,84,42,9,1
N20001635,NI data zone,155,77,29,2,0
N20001636,NI data zone,80,65,38,11,0
N20001637,NI data zone,122,60,23,0,0
N20001638,NI data zone,140,65,31,10,0
N20001639,NI data zone,84,75,44,20,2
N20001640,NI data zone,50,50,32,3,0
N20001641,NI data zone,35,35,24,7,0
N20001642,NI data zone,57,79,60,26,1
N20001643,NI data zone,48,54,33,9,1
N20001644,NI data zone,129,89,45,19,2
N20001645,NI data zone,83,66,38,7,0
N20001646,NI data zone,50,33,18,8,0
N20001647,NI data zone,97,69,33,16,2
N20001648,NI data zone,58,38,23,7,0
N20001649,NI data zone,59,51,25,9,0
N20001650,NI data zone,45,47,32,16,1
N20001651,NI data zone,29,25,18,0,0
N20001652,NI data zone,78,71,41,16,2
N20001653,NI data zone,121,100,41,2,1
N20001654,NI data zone,29,34,38,10,3
N20001655,NI data zone,85,86,40,10,0
N20001656,NI data zone,132,95,48,5,0
N20001657,NI data zone,62,43,21,11,2
N20001658,NI data zone,81,87,37,12,2
N20001659,NI data zone,73,66,39,15,6
N20001660,NI data zone,155,110,62,10,0
N20001661,NI data zone,49,58,42,20,2
