dz_2021_code,type,catholic,presbyterian_church_in_ireland,church_of_ireland,methodist_church_in_ireland,other_christian_including_christian_related,other_religions,no_religion,religion_not_stated
N20000840,NI data zone,255,2,6,1,16,14,78,8
N20000841,NI data zone,461,89,39,15,53,38,182,14
N20000842,NI data zone,63,70,28,7,24,17,107,5
N20000843,NI data zone,211,12,3,2,27,18,62,8
N20000845,NI data zone,48,83,36,23,44,10,93,7
N20000846,NI data zone,323,8,3,2,2,15,49,11
N20000848,NI data zone,305,50,23,9,9,8,55,18
N20000849,NI data zone,357,11,3,1,20,47,111,25
N20001236,NI data zone,650,0,0,0,1,7,43,3
N20001239,NI data zone,600,7,1,0,10,8,27,17
N20001240,NI data zone,441,12,11,3,6,8,48,3
N20001241,NI data zone,555,4,0,0,1,5,44,7
N20001242,NI data zone,631,23,10,0,14,1,38,13
N20001243,NI data zone,667,4,5,0,6,1,29,8
N20001246,NI data zone,651,2,1,1,9,5,48,4
N20001248,NI data zone,400,17,7,0,1,2,21,17
N20001250,NI data zone,365,1,1,0,7,6,25,6
N20001252,NI data zone,498,1,8,3,5,13,19,0
N20001267,NI data zone,494,9,16,0,11,2,42,1
N20001273,NI data zone,344,3,1,0,0,3,36,1
N20001279,NI data zone,536,9,0,0,4,0,53,6
N20001297,NI data zone,418,3,1,0,9,3,29,17
N20001298,NI data zone,601,0,2,0,4,1,30,11
N20001299,NI data zone,462,3,1,0,0,7,12,9
N20001300,NI data zone,557,6,12,7,5,11,31,6
N20001301,NI data zone,663,7,7,0,7,5,39,8
N20001302,NI data zone,471,5,1,0,0,1,17,1
N20001303,NI data zone,379,12,3,0,12,24,53,6
N20001305,NI data zone,500,3,3,0,4,5,23,4
N20001306,NI data zone,263,3,0,0,0,6,13,6
N20001308,NI data zone,750,5,3,4,7,4,60,15
N20001309,NI data zone,793,7,9,0,15,3,55,14
N20001310,NI data zone,539,0,5,0,7,12,39,13
N20001313,NI data zone,494,6,0,0,11,0,25,2
N20001314,NI data zone,589,10,2,0,7,12,29,3
N20001317,NI data zone,482,0,1,0,1,7,16,9
N20001320,NI data zone,411,8,4,0,4,0,37,4
N20001323,NI data zone,313,3,3,2,2,6,15,4
N20001325,NI data zone,684,3,1,4,0,10,45,8
N20001326,NI data zone,620,2,1,0,0,10,29,7
N20001327,NI data zone,375,0,0,0,1,2,47,7
N20001328,NI data zone,505,15,2,0,11,25,39,11
N20001329,NI data zone,273,1,0,0,2,7,16,3
N20001331,NI data zone,456,0,2,0,2,5,37,2
N20001332,NI data zone,433,4,2,0,9,1,36,0
N20001335,NI data zone,273,1,1,0,1,8,28,6
N20001338,NI data zone,292,10,5,2,0,2,21,41
N20001339,NI data zone,618,8,4,2,2,7,37,5
N20001341,NI data zone,266,5,2,2,14,1,27,5
N20001343,NI data zone,386,1,1,0,1,8,27,8
N20001344,NI data zone,294,2,1,0,4,1,18,2
N20001346,NI data zone,448,5,5,1,2,4,31,15
N20001348,NI data zone,382,3,9,0,0,12,44,12
N20001349,NI data zone,367,1,0,0,0,1,34,6
N20001351,NI data zone,556,17,1,1,11,0,44,2
N20001353,NI data zone,263,1,1,0,0,3,16,5
N20001356,NI data zone,608,3,0,0,5,4,43,4
N20001358,NI data zone,506,13,9,1,3,14,34,5
N20001359,NI data zone,512,6,9,0,2,0,22,6
N20001360,NI data zone,385,1,3,1,1,7,23,6
N20001362,NI data zone,455,11,0,0,2,0,31,1
N20001363,NI data zone,551,13,8,2,2,4,37,8
N20001365,NI data zone,379,5,5,0,3,24,52,16
N20001369,NI data zone,23,130,141,19,53,1,107,1
N20001370,NI data zone,17,145,180,23,47,5,87,20
N20001371,NI data zone,137,113,58,29,31,5,85,4
N20001372,NI data zone,7,85,143,21,11,1,59,10
N20001373,NI data zone,215,99,116,18,31,2,91,16
N20001374,NI data zone,436,4,2,2,4,1,25,3
N20001375,NI data zone,5,180,146,28,71,13,132,8
N20001376,NI data zone,7,71,41,6,28,0,51,5
N20001377,NI data zone,40,121,77,22,33,1,65,27
N20001378,NI data zone,43,143,136,8,66,3,132,26
N20001379,NI data zone,26,135,129,23,45,6,122,4
N20001380,NI data zone,20,208,126,45,92,7,142,7
N20001381,NI data zone,26,238,215,49,74,6,112,23
N20001382,NI data zone,7,137,107,23,50,13,79,10
N20001383,NI data zone,45,190,146,19,66,13,103,4
N20001384,NI data zone,28,167,145,41,62,9,130,12
N20001385,NI data zone,36,112,81,18,30,5,78,6
N20001386,NI data zone,15,112,79,33,46,0,96,13
N20001387,NI data zone,15,134,121,25,23,1,94,9
N20001388,NI data zone,16,135,175,25,72,0,76,1
N20001390,NI data zone,16,208,161,53,58,0,104,2
N20001391,NI data zone,9,155,130,19,54,2,74,3
N20001392,NI data zone,17,129,103,43,40,1,67,8
N20001393,NI data zone,6,48,62,9,30,10,39,6
N20001394,NI data zone,27,101,95,12,20,10,71,8
N20001395,NI data zone,14,91,82,32,22,0,50,2
N20001397,NI data zone,36,101,122,16,40,7,119,16
N20001399,NI data zone,13,199,109,37,58,5,129,11
N20001400,NI data zone,32,70,43,10,22,12,66,1
N20001401,NI data zone,60,167,128,51,73,9,172,24
N20001402,NI data zone,62,157,109,23,56,7,148,3
