dz_2021_code,type,one_person_household_aged_66_and_over,one_person_household_other,single_family_household_couple_family_household_no_children,single_family_household_couple_family_household_dependent_children,single_family_household_couple_family_household_all_children_non_dependent,single_family_household_lone_parent_family_with_dependent_children,single_family_household_lone_parent_family_all_children_non_dependent,single_family_household_other_family_composition_including_all_aged_66_and_over,other_household_types
N20000583,NI data zone,18,22,41,45,28,3,5,27,10
N20000584,NI data zone,9,68,50,75,13,22,10,12,11
N20000585,NI data zone,17,14,29,46,16,3,6,18,12
N20000586,NI data zone,21,20,29,50,32,7,9,33,5
N20000587,NI data zone,22,27,43,87,28,14,10,21,10
N20000588,NI data zone,18,18,28,61,29,4,8,25,7
N20000589,NI data zone,8,28,27,45,16,9,7,11,9
N20000590,NI data zone,15,22,16,50,16,4,9,20,7
N20000591,NI data zone,13,9,16,49,21,5,6,26,6
N20000592,NI data zone,21,11,31,75,29,4,4,27,10
N20000593,NI data zone,9,23,33,57,24,9,10,35,9
N20000594,NI data zone,6,4,24,53,12,4,6,19,6
N20000595,NI data zone,25,30,31,58,34,5,11,19,5
N20000596,NI data zone,15,54,19,39,16,18,8,16,9
N20000597,NI data zone,2,28,12,43,5,21,4,3,3
N20000598,NI data zone,36,79,19,28,12,22,12,30,14
N20000599,NI data zone,16,42,30,49,15,18,11,10,8
N20000600,NI data zone,9,42,19,68,10,31,7,7,5
N20000601,NI data zone,33,73,21,31,14,18,14,10,2
N20000602,NI data zone,23,27,37,38,24,11,13,16,4
N20000603,NI data zone,23,45,32,55,11,21,20,14,6
N20000604,NI data zone,22,10,17,25,8,5,4,42,1
N20000605,NI data zone,16,8,16,36,19,3,7,26,7
N20000606,NI data zone,31,20,20,35,17,1,15,20,6
N20000607,NI data zone,33,50,22,21,11,8,5,12,3
N20000608,NI data zone,15,10,33,43,27,4,9,27,2
N20000609,NI data zone,10,13,35,78,35,8,7,11,6
N20000610,NI data zone,31,27,43,50,27,6,15,26,4
N20000611,NI data zone,46,57,27,15,9,25,20,13,8
N20000612,NI data zone,50,63,30,17,13,17,20,23,6
N20000613,NI data zone,12,15,26,28,19,4,9,15,3
N20000614,NI data zone,42,17,58,68,42,9,13,43,6
N20000615,NI data zone,8,42,16,23,12,36,20,11,3
N20000616,NI data zone,34,53,18,24,7,10,10,8,7
N20000617,NI data zone,18,38,14,34,5,20,7,10,2
N20000618,NI data zone,38,63,27,29,16,19,9,11,4
N20000619,NI data zone,15,46,21,26,12,25,12,9,4
N20000620,NI data zone,49,159,30,35,15,19,14,16,5
N20000621,NI data zone,15,32,51,94,47,15,13,16,2
N20000622,NI data zone,28,41,22,28,16,28,18,13,8
N20000623,NI data zone,12,17,26,71,17,11,4,12,6
